Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/16/2022,09/18/2022,MCLOONES SUPPER CLUB,Food & Drink,Sale,-111.83,
09/15/2022,09/15/2022,DISCORD* NITROCLASSICM,Professional Services,Sale,-4.99,
09/14/2022,09/15/2022,NOURISHED BY NATURE,Groceries,Sale,-10.48,
09/14/2022,09/15/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-81.68,
09/13/2022,09/14/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-35.39,
09/13/2022,09/14/2022,BJS WHOLESALE #0027,Shopping,Sale,-21.31,
09/13/2022,09/14/2022,SP HEART AND SOIL,Personal,Sale,-55.03,
09/13/2022,09/13/2022,PARKMOBILE,Travel,Sale,-4.55,
09/12/2022,09/13/2022,PARKMOBILE,Travel,Sale,-0.35,
09/12/2022,09/13/2022,NJ EZPASS,Travel,Sale,-45.00,
09/13/2022,09/13/2022,SP MELIN,Shopping,Sale,-78.00,
09/11/2022,09/12/2022,Peacock A4185 PremPlus,Bills & Utilities,Sale,-5.00,
09/07/2022,09/11/2022,FLAMES BRAZILIAN STEAKHOU,Food & Drink,Sale,-41.05,
09/10/2022,09/11/2022,NOURISHED BY NATURE,Groceries,Sale,-10.48,
09/10/2022,09/11/2022,BEACH HAUS BREWERY,Food & Drink,Sale,-28.59,
09/09/2022,09/11/2022,PRO FOOTBALL FOCUS,Professional Services,Sale,-38.99,
09/07/2022,09/09/2022,EXXONMOBIL    47973045,Gas,Sale,-34.49,
09/06/2022,09/07/2022,HP *INSTANT INK,Shopping,Sale,-1.06,
09/06/2022,09/07/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-85.82,
09/06/2022,09/06/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
09/02/2022,09/04/2022,NJ EZPASS,Travel,Sale,-45.00,
09/01/2022,09/02/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-2.65,
09/01/2022,09/02/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-4.50,
09/01/2022,09/02/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-3.15,
09/01/2022,09/02/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-7.50,
09/01/2022,09/02/2022,NYCDOT PARKNYC,Bills & Utilities,Sale,-6.50,
08/31/2022,09/01/2022,ABC*JERSEY STRONG,Health & Wellness,Sale,-74.63,
08/31/2022,09/01/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-145.79,
08/30/2022,08/31/2022,GOOGLE *YouTubePremium,Entertainment,Sale,-12.78,
08/29/2022,08/30/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-14.95,
08/28/2022,08/29/2022,COSTCO WHSE #0329,Shopping,Sale,-74.05,
08/28/2022,08/29/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-94.33,
08/27/2022,08/29/2022,SPRING LAKE SEAFOOD,Food & Drink,Sale,-145.30,
08/25/2022,08/28/2022,EXXONMOBIL    47973045,Gas,Sale,-39.20,
08/26/2022,08/28/2022,NOURISHED BY NATURE,Groceries,Sale,-10.48,
08/27/2022,08/28/2022,GITHUB,Professional Services,Sale,-10.00,
08/26/2022,08/28/2022,HELP.HBOMAX.COM,Entertainment,Sale,-14.99,
08/27/2022,08/28/2022,BAREWIRES SURF AND SKATE,Shopping,Sale,-79.95,
08/25/2022,08/26/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-16.40,
08/22/2022,08/24/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-84.55,
08/21/2022,08/22/2022,SEACRETS,Food & Drink,Sale,-7.75,
08/21/2022,08/22/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-71.81,
08/19/2022,08/19/2022,AUTOMATIC PAYMENT - THANK,,Payment,4249.31,
08/18/2022,08/19/2022,WALGREENS #19748,Health & Wellness,Sale,-3.29,
08/18/2022,08/19/2022,JOE'S BAGEL &amp; GRILL BLMR,Food & Drink,Sale,-30.92,
08/18/2022,08/19/2022,PRO FOOTBALL FOCUS,Professional Services,Return,8.98,
08/17/2022,08/18/2022,THE HANDSOME DEVIL BAR,Personal,Sale,-36.34,
08/17/2022,08/18/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-51.21,
08/15/2022,08/16/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-44.88,
08/13/2022,08/15/2022,SUNOCO 0327962700,Gas,Sale,-49.90,
08/14/2022,08/15/2022,PARKMOBILE,Travel,Sale,-3.35,
08/15/2022,08/15/2022,DISCORD* NITROCLASSICM,Professional Services,Sale,-4.99,
08/13/2022,08/15/2022,JOHNNY PEPPERONI,Food & Drink,Sale,-32.13,
08/12/2022,08/14/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-36.62,
08/14/2022,08/14/2022,PARKMOBILE,Travel,Sale,-3.35,
08/12/2022,08/14/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-8.99,
08/12/2022,08/14/2022,POINT LOBSTER COMPANY,Food & Drink,Sale,-27.29,
08/11/2022,08/12/2022,TAYLOR SVSTR HARDWARE,Home,Sale,-22.38,
08/10/2022,08/11/2022,APPLE.COM/BILL,Entertainment,Sale,-26.65,
08/11/2022,08/11/2022,Peacock 90C90 PremPlus,Bills & Utilities,Sale,-5.00,
08/09/2022,08/10/2022,SP HEART AND SOIL,Personal,Sale,-55.03,
08/08/2022,08/09/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-21.93,
08/08/2022,08/09/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-54.73,
08/06/2022,08/07/2022,Peacock D6B2F Premium,Bills & Utilities,Sale,-49.99,
