"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"pass_td","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","1.5","over","167","0.04166816479400748","null","null","under","-220","-0.1036999999999999","null","null"
"pass_yd","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","222.5","over","-110","-0.04504503160476214","null","null","under","-120","-0.024170566954545114","null","null"
"rush_yd","Z. Wilson","QB","NYJ","JAX","2021-12-26T18:00:00Z","13.5","over","-110","-0.03694288547401969","null","null","under","-120","-0.03231633118430466","null","null"
"game_away_home_spread","NYG@PHI","","NYG","PHI","2021-12-26T18:00:00Z","-10.5","away","-110","0.030190476190476212","4","45","home","-110","-0.07780952380952383","96","55"
"game_away_home_win","NYG@PHI","","NYG","PHI","2021-12-26T18:00:00Z","","away","400","0.006399999999999989","4","3","home","-544","-0.05103105590062107","96","97"
"game_point_total","NYG@PHI","","NYG","PHI","2021-12-26T18:00:00Z","40.5","over","-110","-0.043809523809523854","75","50","under","-110","-0.003809523809523818","25","50"
"recv_yd","E. Engram","TE","NYG","PHI","2021-12-26T18:00:00Z","31.5","over","-115","-0.08914165497964466","null","null","under","-115","0.019412903226591283","null","null"
"pass_yd","J. Fromm","QB","NYG","PHI","2021-12-26T18:00:00Z","194.5","over","-113","-0.002066505934272378","null","null","under","-118","-0.06966549724073384","null","null"
"recv_yd","K. Golladay","WR","NYG","PHI","2021-12-26T18:00:00Z","41.5","over","-113","-0.01726037912630618","null","null","under","-119","-0.05661361653325192","null","null"
"recv_yd","S. Barkley","RB","NYG","PHI","2021-12-26T18:00:00Z","22.5","over","-111","-0.051682578584027916","null","null","under","-117","-0.013552045276318148","null","null"
"rush_att","S. Barkley","RB","NYG","PHI","2021-12-26T18:00:00Z","13.5","over","112","0.05080205750264144","null","null","under","-148","-0.11927438638403232","null","null"
"rush_recv_yd","S. Barkley","RB","NYG","PHI","2021-12-26T18:00:00Z","80","over","-109","-0.019700312410616982","null","null","under","-119","-0.045011729011849466","null","null"
"rush_yd","S. Barkley","RB","NYG","PHI","2021-12-26T18:00:00Z","51.5","over","-115","-0.02753348662303834","null","null","under","-115","-0.042241721037830915","null","null"
"recv_rec","D. Goedert","TE","PHI","NYG","2021-12-26T18:00:00Z","4.5","over","-108","-0.08992692307692296","null","null","under","-122","0.021160360360360397","null","null"
"recv_yd","D. Goedert","TE","PHI","NYG","2021-12-26T18:00:00Z","53.5","over","-114","-0.08988321856028686","null","null","under","-114","0.024514512865727145","null","null"
"recv_rec","D. Smith","WR","PHI","NYG","2021-12-26T18:00:00Z","3.5","over","109","-0.0430688995215312","null","null","under","-141","-0.020462240663900344","null","null"
"recv_yd","D. Smith","WR","PHI","NYG","2021-12-26T18:00:00Z","44.5","over","-115","-0.04410417891734125","null","null","under","-113","-0.021237670879211135","null","null"
"pass_att","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","28.5","over","-104","-0.08620192018458817","null","null","under","-128","0.014994196619736888","null","null"
"pass_comp","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","16.5","over","101","-0.09500728374577116","null","null","under","-135","0.023026022517021127","null","null"
"pass_int","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","0.5","over","151","0.04459362549800794","null","null","under","-198","-0.10742953020134216","null","null"
"pass_td","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","1.5","over","131","-0.003800432900432915","null","null","under","-168","-0.055965671641791004","null","null"
"pass_yd","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","191.5","over","-115","-0.008593963776744484","null","null","under","-115","-0.06120194165674392","null","null"
"rush_att","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","8.5","over","-114","-0.05501001416806539","null","null","under","-114","-0.01041058384840543","null","null"
"rush_yd","J. Hurts","QB","PHI","NYG","2021-12-26T18:00:00Z","48.5","over","-112","-0.047910068526534455","null","null","under","-116","-0.017455955041943527","null","null"
"recv_yd","J. Reagor","WR","PHI","NYG","2021-12-26T18:00:00Z","17.5","over","-113","-0.017467461255134875","null","null","under","-115","-0.04789772263048708","null","null"
"recv_yd","M. Sanders","RB","PHI","NYG","2021-12-26T18:00:00Z","10.5","over","-113","0.06135677998355371","null","null","under","-113","-0.1223601613814157","null","null"
"rush_att","M. Sanders","RB","PHI","NYG","2021-12-26T18:00:00Z","13.5","over","-114","-0.07450369750233632","null","null","under","-114","0.009096215152663567","null","null"
"rush_recv_yd","M. Sanders","RB","PHI","NYG","2021-12-26T18:00:00Z","73","over","-119","-0.07979555231657526","null","null","under","-109","0.015427968766272282","null","null"
"rush_yd","M. Sanders","RB","PHI","NYG","2021-12-26T18:00:00Z","59.5","over","-116","-0.08418191646699597","null","null","under","-114","0.014439876932905826","null","null"
