player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Kamari Lassiter,146727,CB,GEORGIA,4,10,10.0,5.0,173,0,58.3,1,2,0,7,1,0.7
Cam Smith,98837,CB,S CAROLINA,4,69,9.9,5.8,289,0,97.6,7,12,1,55,14,0.8
Daniel Carter,149487,CB,DAVIDSON,10,169,9.9,5.5,149,1,99.9,17,31,4,193,67,1.14
Nathan East,64343,LB,SAMFORD,10,99,9.9,7.1,282,1,67.9,10,14,0,121,97,1.22
Anthony Sciarroni,143279,CB,VALPO,7,89,9.9,8.1,332,1,68.6,9,11,0,105,52,1.18
Keshaun King,88351,S,E WASHGTON,10,89,9.9,5.2,161,1,37.9,9,17,0,66,64,0.74
Brayden DeVault-Smith,58259,LB,SAMFORD,9,59,9.8,7.4,282,0,107.8,6,8,0,83,32,1.41
Davis Mallinger,144792,CB,W VIRGINIA,8,108,9.8,8.3,343,0,116.7,11,13,0,156,113,1.44
Ubayd Steed,148461,S,TOWSON,9,39,9.8,5.6,317,0,71.7,4,7,0,37,36,0.95
Marcus Askew II,141770,S,ARKAPB,9,49,9.8,7.0,112,0,97.3,5,7,0,60,24,1.22
JaTerious Evans,83893,CB,STF AUSTIN,11,167,9.8,6.7,301,1,104.7,17,25,3,138,67,0.83
Marte Mapu,56159,S,SACRAMENTO,11,236,9.8,6.4,279,0,77.8,24,37,0,192,120,0.81
Thomas Neville,105356,LB,SAMFORD,9,39,9.8,7.8,282,0,100.0,4,5,0,40,22,1.03
Nash Fouch,89460,S,MONTANA,10,157,9.8,5.8,232,0,114.4,16,27,3,168,95,1.07
Jeffrey Scott,141740,S,ALABAMA ST,8,49,9.8,6.1,105,0,145.8,5,8,1,119,88,2.43
DaShaun White,77198,LB,OKLAHOMA,11,196,9.8,7.3,261,1,89.4,20,27,1,186,113,0.95
Owen Pappoe,99006,LB,AUBURN,11,59,9.8,6.6,115,0,71.1,6,9,0,29,31,0.49
Bo Sanders,105091,S,ELON,11,78,9.8,6.5,162,0,128.8,8,12,3,91,46,1.17
