"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","X.Drafted","FPTS","date","tournament"
"69","James Hahn",22311784,6800,40.58,0.0074,0.0069,56,-5e-04,-0.0676,51.1,1.4,74.5,24,1.01,1,0.24,9.23,10,0.0131,27,"2022-04-28","Mexico Open"
"70","Trey Mullinax",22311785,6800,47.73,0.0046,0.0068,58,0.0022,0.4783,50.16,1.9,74.5,23.5,1,1,0.23,16.86,20,0.0261,84.5,"2022-04-28","Mexico Open"
"71","Chez Reavie",22311786,6800,47.12,0.0029,0.0046,78,0.0017,0.5862,51.36,0.54,74.58,24,0.68,1,-0.09,16.77,15,0.0122,83,"2022-04-28","Mexico Open"
"72","Hank Lebioda",22311787,6700,42.38,0.0065,0.0043,82,-0.0022,-0.3385,50.34,1.7,74.5,24,0.64,1,-0.06,6.7,10,0.0179,79,"2022-04-28","Mexico Open"
"73","Callum Tarren",22311788,6700,49.96,0.0049,0.0081,46,0.0032,0.6531,47.37,4.7,72,23,1.21,1,0.51,21.05,25,0.0233,71,"2022-04-28","Mexico Open"
"74","Andrew Novak",22311789,6700,50.89,0.006,0.0051,73,-9e-04,-0.15,48.41,3.1,73.5,23.5,0.76,1,0.06,8.47,10,0.0122,80.5,"2022-04-28","Mexico Open"
"75","Brice Garnett",22311790,6700,46.76,0.0049,0.0051,73,0.000200000000000001,0.0408,50.06,1.7,74,24,0.76,1,0.06,10.46,10,0.0173,76,"2022-04-28","Mexico Open"
"76","Aaron Baddeley",22311791,6700,59.88,0.0019,0.0023,113,4e-04,0.2105,44.78,0.95,70.5,22.5,0.34,1,-0.36,10.97,10,0.0105,30.5,"2022-04-28","Mexico Open"
"77","Bill Haas",22311792,6700,52.22,0.0043,0.0047,76,4e-04,0.093,44.75,0.73,69.5,23,0.7,1,0,10.89,10,0.0255,73.5,"2022-04-28","Mexico Open"
"78","Curtis Thompson",22311793,6700,48.5,0.0017,0.0028,106,0.0011,0.6471,45.44,0.99,70,22.5,0.42,1,-0.28,16.18,15,0.0055,27,"2022-04-28","Mexico Open"
