player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jonathan Harris,94361,DI,DEN,4,0,10,1,1,0,0,1,1,52.5,42,1,1.2,0,0,0,1,100.0,80,80,2,1.3,0,1,0,0,47.5,38,1,1.3,0,0,0,0,0,0
Scott Matlock,82482,DI,LAC,4,0,27,1,0,0,0,0,0,52.6,20,0,0.0,0,0,0,0,100.0,38,38,1,1.3,0,1,0,0,47.4,18,1,2.8,0,0,0,0,0,0
Jeremiah Moon,26453,ED,BLT,2,0,3,0,1,0,0,0,0,5.1,2,0,0.0,0,0,0,0,92.9,39,42,1,1.3,0,0,1,0,94.9,37,1,1.4,0,0,0,0,0,0
Jonathan Bullard,10706,DI,MIN,4,0,18,0,1,0,0,0,0,79.2,38,0,0.0,0,0,0,0,94.1,48,51,1,1.0,0,0,1,0,20.8,10,1,5.0,0,0,0,0,0,0
Malcolm Roach,50191,DI,NO,4,0,20,1,0,0,0,0,0,44.4,20,0,0.0,0,0,0,0,98.0,50,51,1,1.0,0,1,0,0,55.6,25,1,2.0,0,1,1,0,1,1
Angelo Blackson,9533,DI,JAX,4,0,15,0,1,0,0,1,0,100.0,52,1,1.0,0,0,0,0,100.0,52,52,1,1.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dean Lowry,10771,DI,MIN,4,0,18,0,1,0,0,0,0,46.6,27,0,0.0,0,0,0,0,89.2,58,65,1,0.9,0,0,1,0,53.4,31,1,1.6,0,0,0,0,0,0
Nick Williams,8006,DI,LAC,4,1,27,0,1,0,0,1,0,35.8,19,1,2.6,0,0,0,0,100.0,64,64,1,0.8,0,0,0,0,64.2,34,0,0.0,0,1,1,0,1,1
Austin Johnson,10677,DI,LAC,4,0,27,0,1,0,0,1,0,16.5,13,1,3.8,0,0,0,0,100.0,83,83,1,0.6,0,0,0,0,83.5,66,0,0.0,0,0,0,0,0,0
Kevin Strong,48981,DI,ARZ,4,0,1,0,1,0,0,0,0,65.5,38,0,0.0,0,0,0,0,100.0,79,79,1,0.6,0,0,0,0,34.5,20,0,0.0,0,0,0,0,0,0
Tre Avery,56146,CB,TEN,3,0,31,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.4,1,41,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Reed Blankenship,56065,S,PHI,3,0,24,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.2,3,136,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Benjamin St-Juste,56061,CB,WAS,5,0,32,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,2.7,5,186,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Markquese Bell,56033,LB,DAL,4,0,9,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,1.9,1,53,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Raheem Layne,55960,S,LAC,2,0,27,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,1,48,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Michael Carter II,60644,CB,NYJ,4,0,22,0,0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,4.1,5,121,0,0.0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,0,0
Deommodore Lenoir,55686,CB,SF,4,0,28,0,0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,1.2,2,172,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Russ Yeast,55629,S,LA,4,0,26,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,137,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Darrick Forrest,55087,S,WAS,5,0,32,0,0,0,0,0,0,75.0,3,0,0.0,0,0,0,0,2.7,5,185,0,0.0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Paulson Adebo,52280,CB,NO,2,0,20,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,79,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
