player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Calais Campbell,4364,ED,ATL,1,0,2,1,2,0,1,2,1,87.1,27,3,5.6,0,0,0,1,96.9,31,32,3,4.8,0,0,0,0,12.9,4,0,0.0,0,0,0,0,0,0
Joey Bosa,10637,ED,LAC,1,0,27,0,4,0,0,3,0,81.0,34,3,4.4,0,0,0,0,100.0,42,42,4,4.8,0,0,1,0,19.0,8,1,6.3,0,0,0,0,0,0
Derrick Brown,43883,DI,CAR,1,0,5,0,0,0,0,0,0,76.2,16,1,6.3,1,2,2,0,100.0,21,21,1,4.8,0,0,0,0,23.8,5,0,0.0,0,0,0,1,2,2
James Smith-Williams,48455,ED,WAS,1,2,32,1,1,0,0,1,0,28.6,6,1,8.3,0,1,1,0,91.3,21,23,2,4.8,2,1,0,0,71.4,15,1,3.3,0,0,0,0,1,1
Javon Kinlaw,56834,DI,SF,1,0,28,0,2,0,0,0,0,14.3,3,0,0.0,0,0,0,0,100.0,21,21,2,4.8,0,0,2,0,85.7,18,2,5.6,0,0,0,0,0,0
DeShawn Williams,9891,DI,CAR,1,0,5,0,1,0,0,0,0,45.5,5,0,0.0,0,0,0,0,100.0,11,11,1,4.5,0,0,1,0,54.5,6,1,8.3,0,0,0,0,0,0
Andrew Billings,10756,DI,CHI,1,0,6,1,0,0,0,0,0,40.0,4,0,0.0,0,0,0,0,100.0,11,11,1,4.5,0,0,0,0,60.0,6,0,0.0,0,0,0,0,0,0
Pat Jones II,43974,ED,MIN,2,0,18,0,3,0,0,1,0,51.6,16,1,3.1,0,0,0,0,83.3,35,42,3,4.3,0,0,2,0,48.4,15,2,6.7,0,0,0,0,1,1
Jonathan Greenard,48407,ED,HST,1,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,95.8,23,24,1,4.3,0,0,0,0,100.0,23,1,4.3,1,2,1,1,2,1
Keeanu Benton,101536,DI,PIT,1,0,25,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,100.0,12,12,1,4.2,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Clelin Ferrell,25955,ED,SF,1,0,28,2,0,0,0,0,0,8.3,2,0,0.0,0,0,0,1,100.0,24,24,2,4.2,0,2,0,1,91.7,22,2,4.5,0,1,1,0,1,1
Fletcher Cox,7018,DI,PHI,2,0,24,4,2,0,3,2,0,100.0,68,5,3.7,0,0,0,0,100.0,71,71,6,4.2,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Haason Reddick,11768,ED,PHI,2,0,24,1,5,0,1,4,0,83.1,59,5,4.2,0,0,0,0,94.7,71,75,6,4.2,0,0,1,0,16.9,12,1,4.2,0,0,0,0,0,0
B.J. Hill,49894,DI,CIN,1,0,7,0,2,0,0,1,0,78.3,18,1,2.8,0,0,0,0,96.0,24,25,2,4.2,0,0,0,0,21.7,5,0,0.0,0,0,0,0,1,1
Travis Jones,76914,DI,BLT,1,0,3,0,1,0,0,1,0,54.5,6,1,8.3,0,0,0,0,100.0,12,12,1,4.2,0,0,0,0,45.5,5,0,0.0,0,0,0,0,0,0
Solomon Thomas,11758,DI,NYJ,1,0,22,0,1,0,0,1,0,41.7,5,1,10.0,0,0,0,0,100.0,12,12,1,4.2,0,0,0,0,58.3,7,0,0.0,0,0,0,0,0,0
Christian Wilkins,50293,DI,MIA,1,0,17,1,2,0,1,0,0,97.1,33,1,1.5,0,0,0,0,100.0,37,37,3,4.1,0,0,1,0,2.9,1,1,50.0,0,0,0,0,0,0
DeMarcus Walker,11806,ED,CHI,1,0,6,1,1,0,1,0,0,36.0,9,1,5.6,0,0,0,2,100.0,25,25,2,4.0,0,0,1,2,64.0,16,1,3.1,0,1,1,0,1,1
Morgan Fox,11184,DI,LAC,1,0,27,0,2,0,0,1,0,29.2,7,1,7.1,0,0,0,0,100.0,25,25,2,4.0,0,0,1,0,70.8,17,1,2.9,0,0,0,0,0,0
David Ojabo,101420,ED,BLT,1,0,3,0,0,0,0,0,0,76.0,19,1,5.3,1,1,0,0,89.3,25,28,1,4.0,0,0,0,0,24.0,6,0,0.0,0,0,0,1,1,0
Micheal Clemons,56872,ED,NYJ,1,0,22,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,13,13,1,3.8,0,0,1,0,100.0,13,1,3.8,0,0,0,0,0,0
