"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","route_rate","slot_rate","slot","wide","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"70","David Bell","CLE",3000,0.09,2.19,53.9,27.1,2.2,0.76,-0.53,"NO",15,14,-0.22,0.72,0.94,11,22,97,0.301,21,147,0.699,93.5,73.8,60.76,52.41,8,0.035,0,3,"David Bell 3000 0.09"
"71","Trenton Irwin","CIN",3300,0.04,2.04,65.8,NA,2.3,1.13,NA,"NE",9,12,0.76,1.5,0.74,4,29,45,0.425,15,96,0.575,92.8,25.9,65.16,64,10,-0.021,2,5.2,"Trenton Irwin 3300 0.04"
"72","Zach Pascal","PHI",3100,0.03,1.79,64.7,NA,1.2,1.13,NA,"DAL",16,10,1.52,2,0.48,21,12,49,0.248,28,69,0.752,93.4,64.7,67.13,61.25,1,0.039,1,6.3,"Zach Pascal 3100 0.03"
"73","KhaDarel Hodge","ATL",3000,0.02,1.72,83.3,NA,1.4,3.46,NA,"BAL",7,17,-2.37,2,4.37,9,24,10,0.307,14,43,0.693,95,20,NA,NA,16,-0.044,1,5.1,"KhaDarel Hodge 3000 0.02"
"74","Dareke Young","SEA",3000,0.06,1.64,NA,0,NA,NA,NA,"KC",11,7,NA,NA,NA,8,25,NA,0.356,2,NA,0.644,NA,NA,72.06,66.66,14,0.004,NA,NA,"Dareke Young 3000 0.06"
"75","Chris Conley","TEN",3000,0.01,1.46,55.7,NA,1.2,0.74,NA,"HOU",22,32,-1.12,0,1.12,25,8,14,0.234,27,43,0.766,91.2,16.2,NA,NA,30,0.089,0,0.8,"Chris Conley 3000 0.01"
"76","Khalil Shakir","BUF",3000,0.04,1.37,59.9,NA,1.2,1.07,NA,"CHI",32,20,0.39,1.22,0.83,16,18,38,0.284,23,77,0.716,94.5,59.8,56.62,58.36,19,0.233,1,7.4,"Khalil Shakir 3000 0.04"
"77","Michael Woods II","CLE",3000,0.06,1.23,52.6,NA,1.1,0.39,NA,"NO",15,14,-0.6,0.15,0.75,11,22,27,0.301,21,30,0.699,92.8,31.9,60.76,52.41,8,0.035,0,2.3,"Michael Woods II 3000 0.06"
"78","Keith Kirkwood","NO",3000,0,0.97,59.4,NA,1,0.58,NA,"CLE",5,20,0.88,1.17,0.29,23,10,13,0.236,13,14,0.764,93.9,66.7,NA,NA,21,-0.074,0,1.5,"Keith Kirkwood 3000 0"
"79","Dyami Brown","WAS",3000,0.02,0.94,67.9,NA,1,1.79,NA,"SF",6,2,2.37,4.13,1.76,30,3,16,0.208,8,47,0.792,96.4,28.9,65.46,69.15,2,-0.059,2,6.2,"Dyami Brown 3000 0.02"
"80","Jalen Reagor","MIN",3000,0.05,0.9,71.9,NA,0.9,2.42,NA,"NYG",25,32,2.62,3.5,0.88,1,32,9,0.519,18,16,0.481,94.7,47.4,53.45,62.92,32,0.12,1,4.5,"Jalen Reagor 3000 0.05"
