player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Anthony Montalvo,55417,DI,UCF,4,0,1.4,0,0,323,64.1,70.6,80.0,58.8,74.8,62.1,12.5,1,0,53,54,13.2,7,7
Coby Davis,55425,CB,WAKE,2,0,4.0,0,0,339,65.2,65.4,77.7,59.0,64.1,77.8,0.0,0,0,28,28,0.0,0,1
Troy Simon,55427,S,TOLEDO,4,1,6.0,0,0,316,34.7,38.1,78.6,60.0,46.9,58.8,20.0,1,0,51,52,2.0,1,3
Mike Allen,55430,ED,W KENTUCKY,3,0,,0,0,346,55.4,64.6,79.8,59.9,70.9,53.0,,0,0,27,29,0.0,0,0
Tyler Williams,55432,DI,WAKE,4,2,2.6,0,0,339,,79.0,80.1,78.7,71.1,50.6,12.5,1,0,65,65,6.2,4,5
DJ Taylor,55438,LB,BOWL GREEN,4,2,6.9,0,0,122,49.1,53.2,77.8,61.2,60.1,46.3,25.0,3,0,46,46,8.7,4,7
Chase Monroe,55439,LB,CHARLOTTE,5,6,3.3,0,1,136,65.6,70.1,0.0,77.4,69.1,35.3,25.0,6,1,91,94,8.8,8,12
Malik Denkins,55516,ED,C MICHIGAN,1,0,,0,0,134,,55.6,73.6,54.7,60.0,,,0,0,2,2,0.0,0,0
Malik Hausman,55567,CB,HAWAII,5,1,8.0,0,0,180,54.0,55.5,86.3,58.2,59.0,54.1,37.5,3,1,115,117,0.9,1,4
Tony Wallace,55568,CB,UTSA,1,0,,0,0,331,48.4,41.5,67.4,,60.0,74.8,,0,0,0,1,,0,0
Azizi Hearn,55569,CB,UCLA,5,0,7.0,1,0,324,58.0,59.7,82.4,64.5,62.9,88.5,0.0,0,1,67,71,0.0,0,3
