player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Patrick Mensah,83272,CB,LA LAFAYET,3,0,0,33.3,0,0,207,66.3,63.9,74.2,60.0,55.2,76.9,0,0,0,4,0.0,0,0,0,42.4,1,0,2,0,12,18,0,0,0,0,0,1,18,1,5,15,1,2,3,0,0,4,7,4.0
Eric Garror,83274,CB,LA LAFAYET,10,5,0,61.8,0,0,207,72.6,73.6,84.2,60.0,70.2,61.6,0,0,1,25,17.6,6,5,1,88.5,21,0,30,435,283,474,0,0,0,0,0,6,474,1,190,3,6,23,34,0,2,225,36,10.7
Kam Pedescleaux,83278,S,LA LAFAYET,10,14,0,53.3,1,2,207,89.5,89.8,86.3,49.4,79.7,73.6,0,2,1,33,11.9,8,2,2,54.2,16,0,220,2,340,592,0,0,0,0,0,297,592,15,237,73,15,45,30,2,0,155,58,9.7
Markeis Colvin,83285,S,TROY,7,0,0,0.0,0,0,318,91.1,90.9,78.6,59.4,66.8,67.5,0,0,2,,11.1,1,1,0,0.0,0,0,53,2,62,113,0,0,0,0,0,47,113,1,50,11,2,8,4,0,0,0,0,
Steven Gilmore,83286,CB,MARSHALL,9,3,1,37.1,0,0,214,83.9,85.7,85.2,76.0,84.3,79.1,1,1,3,50,6.7,2,4,0,30.4,13,0,34,508,345,562,6,0,0,6,0,3,556,3,214,11,10,25,35,2,1,198,80,15.2
Myles Sims,83292,CB,GA TECH,9,5,1,57.7,0,0,176,67.2,68.7,44.4,64.9,74.1,72.7,0,0,1,26,10.8,4,3,5,95.0,15,0,28,568,307,605,4,0,0,4,0,0,601,7,291,5,8,28,26,0,2,220,80,14.7
Gemon Green,83293,CB,MICHIGAN,8,1,0,46.7,0,0,222,75.8,77.2,82.9,,77.1,87.3,0,0,0,29,0.0,0,1,1,88.5,14,0,22,277,195,316,0,0,0,0,0,0,316,0,121,17,2,13,30,0,2,182,73,13.0
German Green,83294,CB,MICHIGAN,4,0,0,25.0,0,0,222,61.2,62.9,76.9,60.0,66.9,79.9,0,0,0,5,0.0,0,0,0,39.6,1,0,2,43,21,51,1,0,0,1,0,0,50,1,29,5,1,4,4,0,0,5,0,5.0
Sammy Faustin,83295,CB,UMASS,3,0,0,,0,0,216,,62.8,74.8,,62.8,,0,0,0,,,0,0,0,0.0,0,0,1,7,0,15,3,0,0,3,0,0,12,0,15,4,0,0,0,0,0,0,0,
Terell Smith,83302,CB,MINNESOTA,9,3,0,58.3,0,1,225,79.3,79.4,85.0,81.4,70.4,63.7,0,0,2,35,15.4,6,4,3,64.8,21,1,28,377,248,434,21,0,0,21,0,0,413,4,182,8,10,30,36,1,1,242,46,11.5
Jordan Howden,83305,S,MINNESOTA,9,8,0,56.0,0,0,225,84.5,79.4,87.2,60.0,60.5,86.7,0,0,2,38,4.8,2,5,1,36.8,14,0,97,6,271,477,0,0,0,0,0,180,477,1,205,194,9,32,25,0,0,128,37,9.1
Josh Aune,83307,LB,MINNESOTA,4,0,0,100.0,0,0,225,56.3,53.0,75.2,60.0,52.7,45.6,0,0,0,12,25.0,1,0,0,91.7,2,0,12,0,10,24,4,0,0,4,0,1,20,1,13,7,1,3,2,0,0,12,13,6.0
